Kraj,Rok,Administrativní a podpůrné činnosti,Doprava a skladování,Informační a komunikační činnosti,"Kulturní, zábavní a rekreační činnosti",Ostatní činnosti,Peněžnictví a pojišťovnictví,"Profesní, vědecké a technické činnosti",Stavebnictví,Těžba a dobývání,"Ubytování, stravování a pohostinství",Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Veřejná správa a obrana; povinné sociální zabezpečení,Vzdělávání,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Zdravotní a sociální péče,"Zemědělství, lesnictví, rybářství",Zpracovatelský průmysl,"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Činnosti v oblasti nemovitostí
Jihomoravský kraj,2010,6202,11895,10355,8999,28692,6781,64787,56045,100,20224,97743,2523,7486,1824,6523,18156,58211,2505,19235
Jihomoravský kraj,2011,6373,12054,9883,9242,30577,10618,64368,57189,106,20994,97363,2705,7574,2162,6673,20796,59790,2509,20206
Jihomoravský kraj,2012,6631,11813,9326,9519,32409,12969,63327,58073,111,21468,97656,2734,7657,2465,6944,21745,59076,2427,21332
Jihomoravský kraj,2013,6337,11197,9144,9667,33116,22343,61009,56722,121,21026,90964,2735,7581,3486,7131,20990,56170,2205,22055
Jihomoravský kraj,2014,6584,10948,9468,9602,34325,18985,61309,57048,119,21411,93872,2700,7608,4135,7069,21457,55958,2064,22449
Jihomoravský kraj,2015,6846,10808,10241,9922,35142,15290,61954,57560,134,21492,98839,2610,7729,4277,7184,22798,56340,2070,22516
Jihomoravský kraj,2016,7046,10777,10849,10097,35948,13985,62521,58029,138,21804,101011,2607,7785,4289,7089,24395,57258,2025,22938
Jihomoravský kraj,2017,7978,11151,12415,10670,37492,7559,66559,59298,166,23021,101938,2676,8344,4254,7129,26178,58945,2062,24343
Jihomoravský kraj,2018,8469,11436,13801,11127,38725,7612,69547,60140,171,23271,99147,2656,8565,4288,7204,27527,60285,2012,25182
Jihomoravský kraj,2019,9056,11883,13787,11556,40119,3220,69615,60818,162,23657,93691,2652,9053,4315,7283,27715,61494,2003,26057
Jihomoravský kraj,2020,9566,12504,13714,11939,41206,3237,70308,61600,153,24049,89207,2637,9472,4314,7408,27764,62343,2000,27727
Jihomoravský kraj,2021,10935,14108,14314,12468,42311,3253,72874,62835,167,24360,88124,2642,10212,4330,7514,28245,64093,2010,29994
Jihomoravský kraj,2022,12100,15542,14842,12823,43232,3434,74396,64222,179,24659,85079,2650,10749,4541,7765,28538,65692,2020,31626
Jihomoravský kraj,2023,12537,16251,15312,12993,42847,10198,71902,61337,186,23280,74452,2632,10806,4626,7626,27729,62983,1951,31594
Jihomoravský kraj,2024,13830,17686,15800,13748,44300,10837,74031,62293,,23838,69923,2652,11677,,7855,27854,,,34028
Jihočeský kraj,2010,3520,6403,3963,5597,16436,5901,27742,33162,68,16598,48656,3082,3976,871,3421,16792,29297,947,9388
Jihočeský kraj,2011,3652,6448,3693,5841,17407,7695,28744,33306,69,16955,47574,3150,4153,990,3457,17499,29298,912,9583
Jihočeský kraj,2012,3812,6347,3453,6030,18364,9111,28982,33410,68,17132,46288,3228,4322,1186,3494,17831,28729,807,9959
