Kraj,Rok,HDP
Jihomoravský kraj,1995,166573.0
Jihomoravský kraj,1996,191707.0
Jihomoravský kraj,1997,204071.0
Jihomoravský kraj,1998,222518.0
Jihomoravský kraj,1999,228849.0
Jihomoravský kraj,2000,241346.0
Jihomoravský kraj,2001,260867.0
Jihomoravský kraj,2002,269934.0
Jihomoravský kraj,2003,285696.0
Jihomoravský kraj,2004,307955.0
Jihomoravský kraj,2005,325321.0
Jihomoravský kraj,2006,349463.0
Jihomoravský kraj,2007,391334.0
Jihomoravský kraj,2008,420478.0
Jihomoravský kraj,2009,407121.0
Jihomoravský kraj,2010,417529.0
Jihomoravský kraj,2011,430316.0
Jihomoravský kraj,2012,436501.0
Jihomoravský kraj,2013,453383.0
Jihomoravský kraj,2014,462279.0
Jihomoravský kraj,2015,494268.0
Jihomoravský kraj,2016,506374.0
Jihomoravský kraj,2017,539131.0
Jihomoravský kraj,2018,582222.0
Jihomoravský kraj,2019,627206.0
Jihomoravský kraj,2020,639438.0
Jihomoravský kraj,2021,700947.0
Jihomoravský kraj,2022,770044.0
Jihomoravský kraj,2023,839165.0
Jihomoravský kraj,2024,875716.0
Jihočeský kraj,1995,93761.0
Jihočeský kraj,1996,107612.0
Jihočeský kraj,1997,115770.0
Jihočeský kraj,1998,127101.0
Jihočeský kraj,1999,131568.0
Jihočeský kraj,2000,137868.0
Jihočeský kraj,2001,146389.0
Jihočeský kraj,2002,150515.0
Jihočeský kraj,2003,154759.0
Jihočeský kraj,2004,167420.0
Jihočeský kraj,2005,180067.0
Jihočeský kraj,2006,190891.0
Jihočeský kraj,2007,196233.0
Jihočeský kraj,2008,202476.0
Jihočeský kraj,2009,200785.0
Jihočeský kraj,2010,202650.0
Jihočeský kraj,2011,203226.0
Jihočeský kraj,2012,208373.0
Jihočeský kraj,2013,209450.0
Jihočeský kraj,2014,216015.0
Jihočeský kraj,2015,227521.0
Jihočeský kraj,2016,234602.0
Jihočeský kraj,2017,254336.0
Jihočeský kraj,2018,267409.0
Jihočeský kraj,2019,287909.0
Jihočeský kraj,2020,289906.0
Jihočeský kraj,2021,309566.0
Jihočeský kraj,2022,350763.0
Jihočeský kraj,2023,381503.0
Jihočeský kraj,2024,390015.0
Karlovarský kraj,1995,45098.0
Karlovarský kraj,1996,49216.0
Karlovarský kraj,1997,51673.0
Karlovarský kraj,1998,55716.0
Karlovarský kraj,1999,57200.0
Karlovarský kraj,2000,60970.0
Karlovarský kraj,2001,63355.0
Karlovarský kraj,2002,65399.0
Karlovarský kraj,2003,68140.0
Karlovarský kraj,2004,71012.0
Karlovarský kraj,2005,73564.0
Karlovarský kraj,2006,75645.0
Karlovarský kraj,2007,78696.0
Karlovarský kraj,2008,82974.0
Karlovarský kraj,2009,83247.0
Karlovarský kraj,2010,81659.0
Karlovarský kraj,2011,81820.0
Karlovarský kraj,2012,80696.0
Karlovarský kraj,2013,81284.0
Karlovarský kraj,2014,83144.0
Karlovarský kraj,2015,85311.0
Karlovarský kraj,2016,87728.0
Karlovarský kraj,2017,93312.0
Karlovarský kraj,2018,95410.0
Karlovarský kraj,2019,99845.0
Karlovarský kraj,2020,96773.0
Karlovarský kraj,2021,101159.0
Karlovarský kraj,2022,113131.0
Karlovarský kraj,2023,126932.0
Karlovarský kraj,2024,135184.0
Královéhradecký kraj,1995,79685.0
Královéhradecký kraj,1996,91295.0
Královéhradecký kraj,1997,100215.0
Královéhradecký kraj,1998,107912.0
Královéhradecký kraj,1999,112424.0
Královéhradecký kraj,2000,120262.0
Královéhradecký kraj,2001,127847.0
Královéhradecký kraj,2002,128906.0
Královéhradecký kraj,2003,132992.0
Královéhradecký kraj,2004,144566.0
Královéhradecký kraj,2005,150817.0
Královéhradecký kraj,2006,157630.0
Královéhradecký kraj,2007,171991.0
Královéhradecký kraj,2008,177103.0
Královéhradecký kraj,2009,176687.0
Královéhradecký kraj,2010,178696.0
Královéhradecký kraj,2011,181111.0
Královéhradecký kraj,2012,181525.0
Královéhradecký kraj,2013,185409.0
Královéhradecký kraj,2014,194101.0
Královéhradecký kraj,2015,207781.0
Královéhradecký kraj,2016,219485.0
Královéhradecký kraj,2017,239936.0
Královéhradecký kraj,2018,250666.0
Královéhradecký kraj,2019,270628.0
Královéhradecký kraj,2020,271796.0
Královéhradecký kraj,2021,286597.0
Královéhradecký kraj,2022,307147.0
Královéhradecký kraj,2023,341203.0
Královéhradecký kraj,2024,355874.0
Liberecký kraj,1995,61930.0
Liberecký kraj,1996,69436.0
Liberecký kraj,1997,76024.0
Liberecký kraj,1998,81255.0
Liberecký kraj,1999,86077.0
Liberecký kraj,2000,91600.0
Liberecký kraj,2001,98149.0
Liberecký kraj,2002,100265.0
Liberecký kraj,2003,97119.0
Liberecký kraj,2004,103861.0
Liberecký kraj,2005,114745.0
Liberecký kraj,2006,121182.0
Liberecký kraj,2007,126456.0
Liberecký kraj,2008,127432.0
Liberecký kraj,2009,123041.0
Liberecký kraj,2010,127447.0
Liberecký kraj,2011,129952.0
Liberecký kraj,2012,131372.0
Liberecký kraj,2013,133756.0
Liberecký kraj,2014,141474.0
Liberecký kraj,2015,149327.0
Liberecký kraj,2016,154920.0
Liberecký kraj,2017,165976.0
Liberecký kraj,2018,174266.0
Liberecký kraj,2019,186337.0
Liberecký kraj,2020,184445.0
Liberecký kraj,2021,192149.0
Liberecký kraj,2022,208518.0
Liberecký kraj,2023,232715.0
Liberecký kraj,2024,253129.0
Moravskoslezský kraj,1995,175583.0
Moravskoslezský kraj,1996,203160.0
Moravskoslezský kraj,1997,212406.0
Moravskoslezský kraj,1998,222595.0
Moravskoslezský kraj,1999,224482.0
Moravskoslezský kraj,2000,231132.0
Moravskoslezský kraj,2001,249077.0
Moravskoslezský kraj,2002,253831.0
Moravskoslezský kraj,2003,264550.0
Moravskoslezský kraj,2004,298608.0
Moravskoslezský kraj,2005,330346.0
Moravskoslezský kraj,2006,346722.0
Moravskoslezský kraj,2007,379794.0
Moravskoslezský kraj,2008,395643.0
Moravskoslezský kraj,2009,373955.0
Moravskoslezský kraj,2010,384685.0
Moravskoslezský kraj,2011,399789.0
Moravskoslezský kraj,2012,403262.0
Moravskoslezský kraj,2013,391594.0
Moravskoslezský kraj,2014,417388.0
Moravskoslezský kraj,2015,436449.0
