Kraj,Převažující činnost,Rok,Mzda_Kc
Jihočeský kraj," Zemědělství, lesnictví, rybářství",2005,13413
Jihočeský kraj, Těžba a dobývání,2005,19914
Jihočeský kraj, Zpracovatelský průmysl,2005,16484
Jihočeský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,26338
Jihočeský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,16640
Jihočeský kraj, Stavebnictví,2005,15900
Jihočeský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,14179
Jihočeský kraj, Doprava a skladování,2005,15773
Jihočeský kraj," Ubytování, stravování a pohostinství",2005,9037
Jihočeský kraj, Informační a komunikační činnosti,2005,27787
Jihočeský kraj, Peněžnictví a pojišťovnictví,2005,26431
Jihočeský kraj, Činnosti v oblasti nemovitostí,2005,13512
Jihočeský kraj," Profesní, vědecké a technické činnosti",2005,18690
Jihočeský kraj, Administrativní a podpůrné činnosti,2005,9672
Jihočeský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,20981
Jihočeský kraj, Vzdělávání,2005,16683
Jihočeský kraj, Zdravotní a sociální péče,2005,16310
Jihočeský kraj," Kulturní, zábavní a rekreační činnosti",2005,15028
Jihočeský kraj, Ostatní činnosti,2005,12934
Jihomoravský kraj," Zemědělství, lesnictví, rybářství",2005,13020
Jihomoravský kraj, Těžba a dobývání,2005,21998
Jihomoravský kraj, Zpracovatelský průmysl,2005,16350
Jihomoravský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,22034
Jihomoravský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,17608
Jihomoravský kraj, Stavebnictví,2005,16332
Jihomoravský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,15631
Jihomoravský kraj, Doprava a skladování,2005,15966
Jihomoravský kraj," Ubytování, stravování a pohostinství",2005,9500
Jihomoravský kraj, Informační a komunikační činnosti,2005,29326
Jihomoravský kraj, Peněžnictví a pojišťovnictví,2005,26586
Jihomoravský kraj, Činnosti v oblasti nemovitostí,2005,14048
Jihomoravský kraj," Profesní, vědecké a technické činnosti",2005,20697
Jihomoravský kraj, Administrativní a podpůrné činnosti,2005,11366
Jihomoravský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,21114
Jihomoravský kraj, Vzdělávání,2005,17612
Jihomoravský kraj, Zdravotní a sociální péče,2005,17225
Jihomoravský kraj," Kulturní, zábavní a rekreační činnosti",2005,13913
Jihomoravský kraj, Ostatní činnosti,2005,13903
Karlovarský kraj," Zemědělství, lesnictví, rybářství",2005,14188
Karlovarský kraj, Těžba a dobývání,2005,21417
Karlovarský kraj, Zpracovatelský průmysl,2005,14836
Karlovarský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,20191
Karlovarský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,16619
Karlovarský kraj, Stavebnictví,2005,14950
Karlovarský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,13353
Karlovarský kraj, Doprava a skladování,2005,16573
Karlovarský kraj," Ubytování, stravování a pohostinství",2005,11489
Karlovarský kraj, Informační a komunikační činnosti,2005,27343
Karlovarský kraj, Peněžnictví a pojišťovnictví,2005,25486
Karlovarský kraj, Činnosti v oblasti nemovitostí,2005,14034
Karlovarský kraj," Profesní, vědecké a technické činnosti",2005,15826
Karlovarský kraj, Administrativní a podpůrné činnosti,2005,10978
Karlovarský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,20372
Karlovarský kraj, Vzdělávání,2005,16179
Karlovarský kraj, Zdravotní a sociální péče,2005,15580
Karlovarský kraj," Kulturní, zábavní a rekreační činnosti",2005,14174
Karlovarský kraj, Ostatní činnosti,2005,11553
Královéhradecký kraj," Zemědělství, lesnictví, rybářství",2005,14277
Královéhradecký kraj, Těžba a dobývání,2005,21455
Královéhradecký kraj, Zpracovatelský průmysl,2005,16019
Královéhradecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,26267
