Kraj,Rok,Odvetvi,Pocet_zamestnancu
Jihomoravský kraj,1993,Administrativní a podpůrné činnosti,12178
Jihomoravský kraj,1993,Doprava a skladování,30306
Jihomoravský kraj,1993,Informační a komunikační činnosti,11503
Jihomoravský kraj,1993,"Kulturní, zábavní a rekreační činnosti",8807
Jihomoravský kraj,1993,Ostatní činnosti,8885
Jihomoravský kraj,1993,Peněžnictví a pojišťovnictví,6019
Jihomoravský kraj,1993,"Profesní, vědecké a technické činnosti",21915
Jihomoravský kraj,1993,Stavebnictví,45048
Jihomoravský kraj,1993,Těžba a dobývání,6165
Jihomoravský kraj,1993,"Ubytování, stravování a pohostinství",15473
Jihomoravský kraj,1993,Velkoobchod a maloob.; opr. mot. vozidel,44448
Jihomoravský kraj,1993,Veřejná správa a obrana; pov. soc. zabezp.,30851
Jihomoravský kraj,1993,Vzdělávání,41657
Jihomoravský kraj,1993,"Výroba a rozvod elektřiny, plynu, tepla",8238
Jihomoravský kraj,1993,Zdravotní a sociální péče,27586
Jihomoravský kraj,1993,"Zemědělství, lesnictví a rybářství",46381
Jihomoravský kraj,1993,Zpracovatelský průmysl,159142
Jihomoravský kraj,1993,Zásob. vodou; činnosti souvis. s odpady,2637
Jihomoravský kraj,1993,Činnosti v oblasti nemovitostí,4566
Jihomoravský kraj,1994,Administrativní a podpůrné činnosti,12196
Jihomoravský kraj,1994,Doprava a skladování,31749
Jihomoravský kraj,1994,Informační a komunikační činnosti,10782
Jihomoravský kraj,1994,"Kulturní, zábavní a rekreační činnosti",7856
Jihomoravský kraj,1994,Ostatní činnosti,7689
Jihomoravský kraj,1994,Peněžnictví a pojišťovnictví,8227
Jihomoravský kraj,1994,"Profesní, vědecké a technické činnosti",22036
Jihomoravský kraj,1994,Stavebnictví,50873
Jihomoravský kraj,1994,Těžba a dobývání,4094
Jihomoravský kraj,1994,"Ubytování, stravování a pohostinství",13635
Jihomoravský kraj,1994,Velkoobchod a maloob.; opr. mot. vozidel,53229
Jihomoravský kraj,1994,Veřejná správa a obrana; pov. soc. zabezp.,33964
Jihomoravský kraj,1994,Vzdělávání,43275
Jihomoravský kraj,1994,"Výroba a rozvod elektřiny, plynu, tepla",8645
Jihomoravský kraj,1994,Zdravotní a sociální péče,32870
Jihomoravský kraj,1994,"Zemědělství, lesnictví a rybářství",35521
Jihomoravský kraj,1994,Zpracovatelský průmysl,154236
Jihomoravský kraj,1994,Zásob. vodou; činnosti souvis. s odpady,4078
