Kraj,Rok,Pohlaví,Administrativní a podpůrné činnosti,Doprava a skladování,Informační a komunikační činnosti,"Kulturní, zábavní a rekreační činnosti",Ostatní činnosti,Peněžnictví a pojišťovnictví,"Profesní, vědecké a technické činnosti",Stavebnictví,Těžba a dobývání,"Ubytování, stravování a pohostinství",Velkoobchod a maloob.; opr. mot. vozidel,Veřejná správa a obrana; pov. soc. zabezp.,Vzdělávání,"Výroba a rozvod elektřiny, plynu, tepla",Zdravotní a sociální péče,"Zemědělství, lesnictví a rybářství",Zpracovatelský průmysl,Zásob. vodou; činnosti souvis. s odpady,Činnosti v oblasti nemovitostí
Jihomoravský kraj,1993,M,7157,20834,5098,5315,2799,2034,10958,41035,5448,6331,19487,18699,15160,6123,6505,29286,94721,2008,1840
Jihomoravský kraj,1993,Z,5021,9472,6405,3492,6086,3985,10957,4013,717,9142,24961,12152,26497,2115,21081,17095,64421,629,2726
Jihomoravský kraj,1994,M,7485,23957,4937,3742,2047,2148,12819,46102,3238,5525,23720,21797,15615,6734,7994,21807,90076,3026,1230
Jihomoravský kraj,1994,Z,4711,7792,5845,4114,5642,6079,9217,4771,856,8110,29509,12167,27660,1911,24876,13714,64160,1052,2788
Jihomoravský kraj,1995,M,8186,23944,6520,3298,3328,2630,14471,45097,4450,6367,27128,21527,13420,5873,5737,18564,85296,2515,1238
Jihomoravský kraj,1995,Z,4721,9032,5936,3470,7249,6175,9598,5959,950,7980,28899,11560,31445,2079,22653,13231,62765,1018,1187
Jihomoravský kraj,1996,M,7393,22713,7032,4822,4498,2384,13084,47031,3081,6348,30422,19771,11858,5548,7322,19543,87709,2145,1287
Jihomoravský kraj,1996,Z,4889,9437,4680,3251,6801,6612,9312,4384,710,7793,30637,13607,29969,2564,25176,11986,57045,949,1573
Jihomoravský kraj,1997,M,6849,21055,5617,3676,3393,3440,10932,52438,2948,7853,29805,20190,11988,5683,5967,20201,86961,3238,1574
Jihomoravský kraj,1997,Z,4854,8569,3775,2933,6218,5857,8793,4351,699,9135,35636,13504,27294,2455,24911,10776,57442,1350,1730
Jihomoravský kraj,1998,M,6957,24390,6304,3988,3754,3345,10071,52144,2886,7376,33186,19823,10801,5589,5198,20732,80706,3832,2382
Jihomoravský kraj,1998,Z,4487,8831,4932,3047,7243,6700,7981,4553,0,9870,36839,14406,27174,1296,24822,10308,56007,975,1519
Jihomoravský kraj,1999,M,7566,21875,7635,3893,4008,2685,11662,41745,2073,5817,33097,22321,12741,5782,5225,19043,82847,3771,1681
Jihomoravský kraj,1999,Z,4895,8930,4111,3786,6574,5421,8931,4995,0,8956,34270,16174,29785,1435,27507,8941,52371,1167,1119
Jihomoravský kraj,2000,M,6522,19604,6550,3328,3795,5146,10356,46773,2725,5710,32296,21864,13011,4649,6748,18377,81838,2834,1166
Jihomoravský kraj,2000,Z,5131,7528,4483,2627,7123,5419,9513,5276,0,8109,32775,16098,29201,1386,25402,9474,55045,1305,839
Jihomoravský kraj,2001,M,5600,23202,6522,3728,3790,3621,10230,44365,2316,5588,32381,21381,11943,4668,6110,14812,81479,2524,726
Jihomoravský kraj,2001,Z,4693,6787,4397,2174,8655,6166,8284,4760,0,7928,36146,16407,27267,1271,24235,8187,52627,919,1298
Jihomoravský kraj,2002,M,5877,22900,6618,4070,3167,2385,8723,41089,1609,6338,36380,19001,14995,4633,6030,16407,81776,3515,1457
Jihomoravský kraj,2002,Z,4592,8320,4788,3273,7297,5223,7802,5839,0,8391,37752,13242,26578,1406,26087,8243,49145,944,2725
Jihomoravský kraj,2003,M,6340,24328,7586,3813,2970,3284,9885,45698,1613,5862,34189,18416,11060,5538,5821,14867,81966,2603,2254
Jihomoravský kraj,2003,Z,4976,8476,5276,4415,6549,5038,8572,5801,0,7779,31765,14977,25925,1248,25921,7867,52236,1369,1854
Jihomoravský kraj,2004,M,6500,23104,7360,4765,4735,3587,9658,49427,1862,7692,30427,17187,7807,5078,6644,17409,80626,2607,1639
Jihomoravský kraj,2004,Z,5557,9790,5316,3264,6182,7193,9932,5680,0,8132,32506,11888,26822,2051,28698,7336,46395,1553,1955
Jihomoravský kraj,2005,M,7624,23988,8562,3319,3944,2669,11464,48939,1441,7217,29857,19309,9369,4393,7631,14380,84270,2631,1733
Jihomoravský kraj,2005,Z,5443,8640,4899,2378,6608,7052,9287,4866,0,9164,33453,14368,25377,1929,31004,5472,48045,1612,1089
Jihomoravský kraj,2006,M,7481,24690,8640,4925,3169,3334,10827,49006,2256,6367,31015,18982,10985,4636,4982,12377,85115,3158,1790
