Ukazatel,"ČR, Reg. soudržnosti, Kraje",Roky,Hodnota
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,1995,317189.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,1996,367258.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,1997,409036.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,1998,467540.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,1999,503105.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2000,540126.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2001,593446.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2002,647052.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2003,692610.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2004,760912.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2005,827653.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2006,890733.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2007,1006302.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2008,1063678.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2009,1038068.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2010,1079955.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2011,1057358.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2012,1063826.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2013,1085388.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2014,1136579.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2015,1218759.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2016,1276090.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2017,1360258.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2018,1466288.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2019,1577929.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2020,1552162.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2021,1710117.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2022,1952106.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2023,2093632.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Praha,2024,2175296.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,1995,160915.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,1996,182979.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,1997,198970.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,1998,226855.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,1999,244427.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2000,262236.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2001,283173.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2002,300904.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2003,307879.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2004,335734.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2005,346263.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2006,384773.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2007,436925.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2008,447787.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2009,429371.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2010,436435.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2011,460276.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2012,468097.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2013,466647.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2014,502248.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2015,535372.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2016,572592.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2017,618214.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2018,644108.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2019,720988.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2020,693829.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2021,745899.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2022,833853.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2023,920569.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Střední Čechy,2024,997744.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,1995,177264.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,1996,204510.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,1997,217463.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,1998,235499.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,1999,244382.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2000,258281.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2001,277066.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2002,285327.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2003,297689.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2004,328229.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2005,344779.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2006,371843.0
"Hrubý domácí produkt (mil. Kč, běžné ceny)",Jihozápad,2007,371245.0
