Kraj,Rok, Administrativní a podpůrné činnosti, Doprava a skladování, Informační a komunikační činnosti," Kulturní, zábavní a rekreační činnosti", Ostatní činnosti, Peněžnictví a pojišťovnictví," Profesní, vědecké a technické činnosti", Stavebnictví, Těžba a dobývání," Ubytování, stravování a pohostinství", Velkoobchod a maloobchod; opravy a údržba motorových vozidel, Veřejná správa a obrana; povinné sociální zabezpečení, Vzdělávání," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu", Zdravotní a sociální péče," Zemědělství, lesnictví, rybářství", Zpracovatelský průmysl," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi", Činnosti v oblasti nemovitostí
Jihomoravský kraj,2005,11366,15966,29326,13913,13903,26586,20697,16332,21998,9500,15631,21114,17612,22034,17225,13020,16350,17608,14048
Jihomoravský kraj,2006,12196,16730,30868,14532,13851,27647,21398,17386,24346,10096,15711,22069,18993,23371,18549,13694,17558,18711,14104
Jihomoravský kraj,2007,13072,18074,32833,15469,16494,29653,23394,19071,26020,10661,18034,23763,20023,24764,19477,14655,19027,19825,16020
Jihomoravský kraj,2008,15104,19540,34845,16088,15802,32523,25352,20995,28797,10808,19056,24837,21112,29251,20031,16528,20853,21306,19581
Jihomoravský kraj,2009,15893,19885,39183,17411,17854,32442,26442,22576,32851,11000,19621,24952,22152,30400,21656,16556,21401,22971,18111
Jihomoravský kraj,2010,16619,19931,38676,17885,17934,31175,26153,22704,29285,11399,19819,25244,22155,34122,22675,17055,21963,23382,17735
Jihomoravský kraj,2011,16682,19831,40802,18154,18227,33414,26021,23348,33656,11240,20704,24500,22451,33099,23762,17442,22622,24149,18725
Jihomoravský kraj,2012,17686,20516,41868,17855,17354,37590,26619,23446,38924,11331,20810,25064,23211,33060,24346,18419,23717,24265,18517
Jihomoravský kraj,2013,17449,20903,43070,18192,18093,34345,26858,23089,38435,11445,21191,25090,23517,32290,24038,19358,24127,23197,17190
Jihomoravský kraj,2014,15494,21449,42507,18629,18321,35174,27420,23247,38562,11836,21740,25919,24077,33251,24518,20473,24588,25432,16880
Jihomoravský kraj,2015,15621,22275,46149,19598,19420,35125,29949,23867,44763,12599,22622,26967,24154,32814,25706,20471,25323,25332,18062
Jihomoravský kraj,2016,16418,23503,44959,21182,20487,36833,31298,25115,40548,13683,23331,28226,24896,36439,27188,21087,26496,25429,18947
Jihomoravský kraj,2017,19194,24599,47029,23180,19831,37268,32993,26330,41078,15559,25349,30458,26933,39225,29497,22012,28001,27504,20407
Jihomoravský kraj,2018,20214,26456,51343,25359,21247,41367,34075,28205,45432,17015,27289,33597,29259,40858,32371,23519,30048,28319,22087
Jihomoravský kraj,2019,22765,28389,53107,28120,22853,43933,36321,29922,46854,18341,29133,35691,32394,44602,35195,25952,32005,30626,24889
Jihomoravský kraj,2020,25076,29207,56553,27732,22766,44490,38507,31191,45741,17636,29924,37799,34542,46563,39670,27183,32530,32600,25486
Jihomoravský kraj,2021,26058,30670,60345,28402,24385,47168,40016,32122,48949,19849,32022,38322,36397,50007,43655,28539,34233,34001,26470
Jihomoravský kraj,2022,27404,32587,63047,30381,24253,51218,43056,33295,51071,20078,33764,39469,37073,53563,40718,29183,36403,36622,29422
Jihomoravský kraj,2023,31386,34676,69499,33549,25801,54367,44836,35152,55457,21496,36066,42554,39080,58244,42761,30833,39687,39859,30392
Jihomoravský kraj,2024,32955,36732,75425,35074,28115,57640,49304,38467,55857,23219,38683,43929,39849,61576,46794,32738,42420,42669,32502
Jihočeský kraj,2005,9672,15773,27787,15028,12934,26431,18690,15900,19914,9037,14179,20981,16683,26338,16310,13413,16484,16640,13512
Jihočeský kraj,2006,10509,16055,29073,15781,13539,28857,19412,16974,20671,9586,15098,21807,17479,29708,17484,14401,17313,17263,13848
Jihočeský kraj,2007,11486,17188,28531,17225,14112,28522,20519,18061,21371,10058,16454,23120,18562,32274,18469,15904,18579,18715,14702
Jihočeský kraj,2008,12255,19038,31537,17726,14360,31240,20795,19812,24454,10472,17786,23065,19345,34042,19679,17524,20100,20396,15575
Jihočeský kraj,2009,13023,18925,33923,18322,14367,33774,22862,20836,26366,10416,17952,24634,20712,37240,21234,17437,20338,19627,16340
Jihočeský kraj,2010,12912,19236,32007,18771,14930,33108,21467,22085,24706,11021,17733,24579,20573,37793,21804,18066,21311,20651,16991
Jihočeský kraj,2011,13611,19363,32324,18537,15471,33871,21588,22635,24748,11242,18206,23932,20755,39047,23385,18506,21803,21338,16858
Jihočeský kraj,2012,12862,19668,33319,19341,16212,33934,21783,23473,26301,11452,19015,24642,21080,39219,23407,19557,22807,21902,15913
Jihočeský kraj,2013,13093,18961,32428,20082,16155,33618,21652,22649,26043,11464,18473,26147,21121,41562,23423,20165,22834,22345,16261
Jihočeský kraj,2014,13027,19751,32233,20191,16148,34593,22532,23178,26341,12250,19239,25405,21700,41432,23970,21082,23632,22298,16813
Jihočeský kraj,2015,14325,19816,32547,20795,17087,33776,22922,24027,29939,12715,20340,26870,22043,40824,25627,21516,24399,22013,18484
Jihočeský kraj,2016,15531,21731,32652,21673,17828,36092,23873,24777,30543,13466,21432,28254,23050,42941,26487,22319,25507,23518,19561
Jihočeský kraj,2017,15857,24407,34864,23569,18093,38218,25366,25623,31306,15359,23139,30743,24551,44931,28679,24024,27223,25045,19925
Jihočeský kraj,2018,17509,25600,37009,25269,19682,40458,27886,28029,31771,16634,24963,33723,27032,48213,32295,25540,29149,26443,22049
Jihočeský kraj,2019,20455,26668,37881,28337,21115,43319,30114,28591,62463,18765,26685,35902,30542,49982,34408,27452,31129,28532,23978
Jihočeský kraj,2020,21674,27557,36442,28719,21576,44361,31058,30289,36013,18295,27420,37714,33257,53580,39070,28404,31367,30689,24411
Jihočeský kraj,2021,23121,30143,39362,29449,22670,45452,32231,31972,37501,20395,28638,38149,35786,56491,43573,29727,33663,31487,26130
Jihočeský kraj,2022,24003,32301,42569,31110,22275,51217,33319,34030,41402,20846,31231,39461,36006,61844,40829,31379,35645,32897,28965
Jihočeský kraj,2023,25187,34451,44866,33747,24750,56453,34698,37027,45526,21765,33038,42655,37582,68569,44131,33056,38306,36301,28362
Jihočeský kraj,2024,26498,36438,48010,35216,27053,61584,38646,38986,47509,24262,35949,43835,38191,72273,46991,35169,41089,38896,33055
Karlovarský kraj,2005,10978,16573,27343,14174,11553,25486,15826,14950,21417,11489,13353,20372,16179,20191,15580,14188,14836,16619,14034
Karlovarský kraj,2006,12491,16636,23513,15498,11877,26143,16646,15308,24235,12184,14077,21226,17167,22723,16338,15067,15889,17087,14277
Karlovarský kraj,2007,12193,17687,23976,16605,12846,29047,18534,16882,26271,12925,14916,22895,18192,23251,17732,16405,16781,18445,14880
Karlovarský kraj,2008,13355,18378,24799,17103,13475,30771,19041,16540,30404,13148,16055,24027,18749,25645,18476,16948,18112,20469,15255
Karlovarský kraj,2009,12389,18267,26787,18636,14018,34394,19861,19248,31744,13749,16775,25258,20190,26882,19164,16647,18179,21649,16157
Karlovarský kraj,2010,12849,18506,22385,17852,14163,33174,19247,20517,30763,14469,16299,25423,19866,27775,20528,18468,18798,21289,16515
Karlovarský kraj,2011,14022,19154,21836,19449,14303,33978,18178,19505,31880,14962,17515,24678,20019,29411,20392,17952,19506,21419,19345
Karlovarský kraj,2012,14049,19876,23903,19648,13850,36495,20171,19460,32452,15112,17045,25140,20485,29314,20879,18894,20448,21518,19406
Karlovarský kraj,2013,16059,20481,23617,20516,14056,35229,19314,18936,30785,15522,17670,25198,20700,29871,21062,18761,20325,20319,19162
Karlovarský kraj,2014,15423,20573,24009,20052,13476,34096,19346,19744,31647,15728,18259,25728,21230,29874,21524,19241,21277,20455,19703
Karlovarský kraj,2015,15486,21383,24448,21374,13959,31851,19778,20988,32300,16058,18913,27184,21899,30762,21915,20368,22314,22573,20637
Karlovarský kraj,2016,16683,22525,24973,22466,14605,35917,21754,21511,33053,17116,20294,28415,23189,27780,23733,22085,23704,23221,21835
Karlovarský kraj,2017,17657,26496,27265,24222,16949,37205,23306,22927,34253,19204,21990,30589,25112,33039,26397,23978,25736,24773,21245
Karlovarský kraj,2018,19835,26518,30214,26376,18999,39652,23946,24597,34945,20386,23246,33435,27510,35590,28715,25654,27701,26137,23131
Karlovarský kraj,2019,22102,27817,29699,29557,19684,41407,26575,26804,36798,22217,25339,35188,30872,37030,30789,27878,29176,28248,25318
Karlovarský kraj,2020,22240,28739,30006,29491,20785,42671,26716,27935,37103,20571,25884,37846,33740,39350,32889,29358,29211,28935,24334
Karlovarský kraj,2021,24800,30900,32528,27990,23224,43478,28978,28761,35359,22839,26942,38219,36278,41400,37122,31166,31298,29031,24519
Karlovarský kraj,2022,22353,32681,33632,30276,22517,46935,29682,29485,43255,24216,28732,39776,36375,43971,36028,32839,32708,30490,27442
