"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Editační vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISORP",65,"1000","Praha"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2101","Benešov"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2102","Beroun"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2103","Brandýs nad Labem-Stará Boleslav"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2104","Čáslav"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2105","Černošice"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2106","Český Brod"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2107","Dobříš"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2108","Hořovice"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2109","Kladno"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2110","Kolín"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2111","Kralupy nad Vltavou"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2112","Kutná Hora"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2113","Lysá nad Labem"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2114","Mělník"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2115","Mladá Boleslav"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2116","Mnichovo Hradiště"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2117","Neratovice"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2118","Nymburk"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2119","Poděbrady"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2120","Příbram"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2121","Rakovník"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2122","Říčany"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2123","Sedlčany"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2124","Slaný"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2125","Vlašim"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISORP",65,"2126","Votice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3101","Blatná"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3102","České Budějovice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3103","Český Krumlov"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3104","Dačice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3105","Jindřichův Hradec"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3106","Kaplice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3107","Milevsko"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3108","Písek"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3109","Prachatice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3110","Soběslav"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3111","Strakonice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3112","Tábor"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3113","Trhové Sviny"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3114","Třeboň"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3115","Týn nad Vltavou"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3116","Vimperk"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","CISORP",65,"3117","Vodňany"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3201","Blovice"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3202","Domažlice"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3203","Horažďovice"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3204","Horšovský Týn"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3205","Klatovy"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3206","Kralovice"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3207","Nepomuk"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3208","Nýřany"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3209","Plzeň"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3210","Přeštice"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3211","Rokycany"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3212","Stod"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3213","Stříbro"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3214","Sušice"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","CISORP",65,"3215","Tachov"
"CS","Editační vazba","KRAJ_NUTS",100,"3051","Karlovarský kraj","CISORP",65,"4101","Aš"
"CS","Editační vazba","KRAJ_NUTS",100,"3051","Karlovarský kraj","CISORP",65,"4102","Cheb"
"CS","Editační vazba","KRAJ_NUTS",100,"3051","Karlovarský kraj","CISORP",65,"4103","Karlovy Vary"
"CS","Editační vazba","KRAJ_NUTS",100,"3051","Karlovarský kraj","CISORP",65,"4104","Kraslice"
"CS","Editační vazba","KRAJ_NUTS",100,"3051","Karlovarský kraj","CISORP",65,"4105","Mariánské Lázně"
"CS","Editační vazba","KRAJ_NUTS",100,"3051","Karlovarský kraj","CISORP",65,"4106","Ostrov"
"CS","Editační vazba","KRAJ_NUTS",100,"3051","Karlovarský kraj","CISORP",65,"4107","Sokolov"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4201","Bílina"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4202","Děčín"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4203","Chomutov"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4204","Kadaň"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4205","Litoměřice"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4206","Litvínov"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4207","Louny"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4208","Lovosice"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4209","Most"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4210","Podbořany"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4211","Roudnice nad Labem"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4212","Rumburk"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4213","Teplice"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4214","Ústí nad Labem"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4215","Varnsdorf"
"CS","Editační vazba","KRAJ_NUTS",100,"3069","Ústecký kraj","CISORP",65,"4216","Žatec"
"CS","Editační vazba","KRAJ_NUTS",100,"3077","Liberecký kraj","CISORP",65,"5101","Česká Lípa"
"CS","Editační vazba","KRAJ_NUTS",100,"3077","Liberecký kraj","CISORP",65,"5102","Frýdlant"
"CS","Editační vazba","KRAJ_NUTS",100,"3077","Liberecký kraj","CISORP",65,"5103","Jablonec nad Nisou"
